id,timestamp,x,y,angle
42,118466,470,247,-0.169330566
33,118466,444,272,2.346625404
37,118466,407,274,5.967762654
10,118499,337,232,5.113338654
1,118499,440,195,4.040783654
0,118499,221,96,6.252889654
33,118499,446,271,2.439713603
37,118499,407,274,6.062355654
45,118500,489,242,-0.361327615
42,118500,470,247,-0.288177042
10,118533,337,233,5.078136654
1,118533,440,196,4.026659654
0,118533,221,95,6.273083654
45,118533,489,242,-0.095924626
42,118533,470,247,-0.368802792
33,118533,450,273,2.615433453
37,118533,406,273,6.062355654
10,118566,335,231,5.211735654
1,118566,439,196,4.012496654
0,118566,221,92,6.252889654
45,118566,489,242,-0.138412748
42,118566,470,247,-0.296408475
33,118566,446,274,2.514127418
37,118566,406,274,6.040632654
10,118599,335,231,5.202935654
1,118599,439,196,4.004847654
0,118599,221,92,0.010099346
33,118599,442,273,2.469838835
37,118599,406,274,6.030941654
45,118600,489,242,-0.370511253
42,118600,470,247,-0.320550075
10,118633,335,231,5.194052654
1,118633,439,197,3.984071654
0,118633,221,92,6.273083654
45,118633,489,242,-0.38523727
42,118633,470,247,-0.320867942
33,118633,444,268,2.714043926
37,118633,402,273,5.999389654
10,118666,335,231,5.211735654
1,118666,436,202,4.168556654
0,118666,217,86,0.181647346
45,118666,489,242,-0.226990529
42,118666,470,247,-0.320550075
33,118666,446,272,2.520595784
37,118666,402,271,6.122953654
10,118699,335,231,5.247662654
1,118699,436,203,4.199454654
0,118699,215,84,0.308929346
33,118699,445,268,2.52917674
37,118699,402,271,6.142701654
45,118700,489,242,-0.345641735
42,118700,470,247,-0.06208228
10,118733,335,229,5.333804654
1,118733,436,203,4.199454654
0,118733,214,85,0.276907346
45,118733,489,242,-0.324312462
42,118733,470,247,-0.208906947
33,118733,443,266,2.542366389
37,118733,402,271,6.122953654
10,118766,335,227,5.355889654
1,118766,436,204,4.279981654
0,118766,213,84,0.305877346
45,118766,489,242,-0.304455674
42,118766,470,247,-0.474497093
33,118766,441,266,2.469902475
37,118766,402,272,6.173624654
10,118799,336,227,5.319833654
1,118799,436,204,4.302261654
0,118799,217,85,0.423309346
33,118799,439,266,2.347709845
37,118799,402,272,6.283183654
45,118800,489,242,-0.558363355
42,118800,470,247,-0.343340647
10,118833,336,228,5.305931654
1,118833,437,204,4.311439654
0,118833,217,85,0.423309346
45,118833,489,242,-0.415857937
42,118833,470,247,-0.187072458
33,118833,439,263,2.292408882
37,118833,402,273,0.029989346
